player,first,last,name,position1,start,cteam,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,jnum,dcp
NC-0175,Nick,Chubb,Nick Chubb,RB,2018,CLE,71,227,12/27/95,4.52,29,38.5,128,4.25,7.09,32,9.625,35,Georgia,Southeastern (SEC),24,1
CC-2350,Corey,Clement,Corey Clement,RB,2017,PHI,70,221,11/2/94,4.68,19,32,120,4.17,6.71,30.5,9.75,0,Wisconsin,Big Ten,30,3
TC-1975,Tarik,Cohen,Tarik Cohen,RB,2017,CHI,66,179,7/26/95,4.42,11,31.5,118,4.27,7.22,29.75,10.125,119,North Carolina A&T,Mid-Eastern Athletic (MEAC),29,1
TC-2050,Tevin,Coleman,Tevin Coleman,RB,2015,SF,71,206,4/16/93,4.4,22,0,0,0,0,32,8.625,73,Indiana,Big Ten,26,3
JC-4075,James,Conner,James Conner,RB,2017,PIT,73,233,5/5/95,4.65,20,29,113,4.4,7.14,31.25,9.875,105,Pittsburgh,Atlantic Coast (ACC),30,1
DC-3550,Dalvin,Cook,Dalvin Cook,RB,2017,MIN,70,210,8/10/95,4.49,22,30.5,116,4.53,7.27,32.375,9.25,41,Florida State,Atlantic Coast (ACC),33,1
MD-0150,Mike,Davis,Mike Davis,RB,2015,CAR,72,197,2/19/93,4.5,10,32.5,117,4.39,7.11,30.25,9.375,126,South Carolina,Southeastern (SEC),27,3
DD-0681,Dalyn,Dawkins,Dalyn Dawkins,RB,2018,TEN,69,175,12/12/94,4.62,9,31,117,4.45,7.12,0,0,0,Colorado State,Mountain West (MWC),28,2
JD-1650,James,Develin,James Develin,RB,2010,NE,75,260,7/23/88,0,0,0,0,0,0,0,0,0,Brown,Ivy League,46,3
PD-0700,Patrick,DiMarco,Patrick DiMarco,RB,2011,BUF,73,240,4/30/89,0,0,0,0,0,0,0,0,0,South Carolina,Southeastern (SEC),42,1
KD-1462,Kenyan,Drake,Kenyan Drake,RB,2016,ARI,73,210,1/26/94,4.31,10,34.5,123,4.21,7.04,31.75,9.75,73,Alabama,Southeastern (SEC),41,1
CE-0175,Chase,Edmonds,Chase Edmonds,RB,2018,ARI,69,205,4/13/96,4.55,19,34,122,4.07,6.79,31.125,9.125,134,Fordham,0,29,3
TE-0025,Trey,Edmunds,Trey Edmunds,RB,2017,PIT,74,227,12/30/94,4.48,0,35.5,122,0,7.25,0,0,0,Maryland,Big Ten,33,1
GE-0150,Gus,Edwards,Gus Edwards,RB,2018,BAL,73,235,4/13/95,4.53,17,34.5,123,4.24,7.22,0,0,0,Rutgers,Big Ten,35,2
AE-0550,Austin,Ekeler,Austin Ekeler,RB,2017,LAC,69,191,5/17/95,4.67,0,0,0,0,0,0,0,0,Western State (CO),0,30,2
EE-0250,Ezekiel,Elliott,Ezekiel Elliott,RB,2016,DAL,72,225,7/22/95,4.45,0,32.5,118,0,0,31.25,9.25,4,Ohio State,Big Ten,21,1
TE-0350,Tyler,Ervin,Tyler Ervin,RB,2016,GB,70,192,10/7/93,4.36,17,39,130,4.34,7.03,29.75,9.125,119,San Jose State,Mountain West (MWC),32,4
JF-1250,Josh,Ferguson,Josh Ferguson,RB,2016,WAS,70,198,5/23/93,4.43,21,34.5,120,0,0,0,0,0,Illinois,Big Ten,40,3
DF-1375,D.J.,Foster,D.J. Foster,RB,2016,ARI,70,193,11/22/93,4.53,14,36,117,4.07,6.75,0,0,0,Arizona State,Pacific 12,37,3
LF-0650,Leonard,Fournette,Leonard Fournette,RB,2017,JAC,72,240,1/18/95,4.51,0,28.5,0,0,0,31.625,9.25,4,LSU,Southeastern (SEC),27,1
DF-1875,Devonta,Freeman,Devonta Freeman,RB,2014,ATL,68,206,3/15/92,4.51,14,32,118,4.26,7.11,29.375,9.625,103,Florida State,Atlantic Coast (ACC),24,1
RF-1400,Royce,Freeman,Royce Freeman,RB,2018,DEN,71,229,2/24/96,4.54,17,34,118,4.16,6.9,32,9.5,71,Oregon,Pacific 12,28,2
WG-0050,Wayne,Gallman,Wayne Gallman,RB,2017,NYG,72,215,10/1/94,4.6,21,30.5,120,4.28,7.17,32.625,9.125,140,Clemson,Atlantic Coast (ACC),22,3
MG-0293,Myles,Gaskin,Myles Gaskin,RB,2019,MIA,69,205,2/15/97,4.57,24,35.5,118,4.27,7.19,29.5,8.625,234,Washington,Pacific 12,37,1
CG-1015,Cullen,Gillaspia,Cullen Gillaspia,RB,2019,HOU,74,235,5/12/95,4.54,20,32.5,112,4.28,6.95,30.75,9.125,220,Texas A&M,Southeastern (SEC),44,1
MG-1150,Melvin,Gordon,Melvin Gordon,RB,2015,LAC,73,215,4/13/93,4.33,19,35,126,4.07,7.04,32.375,9.75,15,Wisconsin,Big Ten,25,1
FG-0200,Frank,Gore,Frank Gore,RB,2005,BUF,69,217,5/14/83,4.55,0,34,109,4.11,6.91,0,0,65,Miami (FL),Atlantic Coast (ACC),20,1
DG-3200,Derrius,Guice,Derrius Guice,RB,2018,WAS,70,224,6/21/97,4.49,15,31.5,0,0,0,30.75,9.75,59,LSU,Southeastern (SEC),29,2
TG-1950,Todd,Gurley,Todd Gurley,RB,2015,LA,73,222,8/3/94,4.42,17,0,0,0,0,32.5,10,10,Georgia,Southeastern (SEC),30,1
CH-0525,C.J.,Ham,C.J. Ham,RB,2016,MIN,73,240,7/22/93,4.69,22,37,118,4.35,7.4,0,0,0,Augustana,0,30,1
DH-1362,Damien,Harris,Damien Harris,RB,2019,NE,70,216,2/11/97,4.57,16,37,121,0,0,30.75,9.75,87,Alabama,Southeastern (SEC),37,3
DH-2325,Darrell,Henderson,Darrell Henderson,RB,2019,LA,68,208,8/19/97,4.53,22,33.5,121,4.41,7.03,31,8.625,70,Memphis,American Athletic,27,4
DH-2450,Derrick,Henry,Derrick Henry,RB,2016,TEN,75,247,7/17/94,4.52,22,37,130,4.38,7.2,33,8.75,45,Alabama,Southeastern (SEC),22,1
BH-1225,Brian,Hill,Brian Hill,RB,2017,ATL,73,219,11/9/95,4.54,15,34,125,4.32,7.03,31.375,8.875,156,Wyoming,Mountain West (MWC),23,2
JH-4085,Justice,Hill,Justice Hill,RB,2019,BAL,70,198,11/14/97,4.4,21,40,130,0,0,31.625,9.5,113,Oklahoma State,Big 12,43,3
DH-3137,Dontrell,Hilliard,Dontrell Hilliard,RB,2018,CLE,71,205,2/26/95,4.44,21,34.5,125,4.38,6.87,0,0,0,Tulane,American Athletic,25,4
JH-4250,Jonathan,Hilliman,Jonathan Hilliman,RB,2019,NYG,72,220,11/14/95,4.49,20,34.5,120,4.26,7.12,33,8.75,0,Rutgers,Big Ten,28,4
WH-0762,Wes,Hills,Wes Hills,RB,2019,DET,73,214,6/5/95,4.59,0,0,0,0,0,32.375,8.875,0,Slippery Rock,0,36,5
NH-1237,Nyheim,Hines,Nyheim Hines,RB,2018,IND,68,198,11/12/96,4.38,11,35.5,121,4.27,6.9,30.75,8.875,104,North Carolina State,Atlantic Coast (ACC),21,2
TH-2337,Travis,Homer,Travis Homer,RB,2019,SEA,70,201,8/7/98,4.48,17,39.5,130,4.31,7.07,31.5,10,204,Miami (FL),Atlantic Coast (ACC),25,1
JH-5575,Jordan,Howard,Jordan Howard,RB,2016,PHI,72,230,11/2/94,4.59,16,34,122,4.34,7.14,32.25,9,150,Indiana,Big Ten,24,1
GH-1162,Gregory,Howell,Gregory Howell,RB,2018,HOU,73,215,3/27/96,4.58,19,27.5,116,4.51,7.55,0,0,0,Florida Atlantic,Conference USA (C-USA),38,3
KH-2850,Kareem,Hunt,Kareem Hunt,RB,2017,CLE,70,216,8/6/95,4.62,18,36.5,119,4.53,7.22,31.375,9.625,86,Toledo,Mid-American (MAC),27,1
CH-5000,Carlos,Hyde,Carlos Hyde,RB,2014,HOU,72,230,9/20/91,4.61,19,34.5,114,0,0,32,9.625,57,Ohio State,Big Ten,23,2
AI-0050,Alec,Ingold,Alec Ingold,RB,2019,OAK,73,242,7/9/96,4.89,16,34,116,4.32,7.35,31.5,9.625,0,Wisconsin,Big Ten,45,1
MI-0100,Mark,Ingram,Mark Ingram,RB,2011,BAL,69,215,12/21/89,4.62,21,31.5,113,4.62,7.13,30.625,9.375,28,Alabama,Southeastern (SEC),21,1
JJ-0575,Justin,Jackson,Justin Jackson,RB,2018,LAC,72,199,4/22/96,4.52,13,38.5,122,4.07,6.81,30.625,9.25,251,Northwestern,Big Ten,22,3
JJ-0587,Josh,Jacobs,Josh Jacobs,RB,2019,OAK,70,220,2/11/98,4.64,18,35,112,0,0,31.625,10.125,24,Alabama,Southeastern (SEC),28,1
AJ-0375,Andy,Janovich,Andy Janovich,RB,2016,DEN,73,238,5/23/93,4.75,30,34,119,4.32,7.28,31.625,9.75,176,Nebraska,Big Ten,32,4
DJ-1325,David,Johnson,David Johnson,RB,2015,ARI,73,224,12/16/91,4.51,25,41.5,127,4.27,6.82,31.25,9.625,86,Northern Iowa,Missouri Valley,31,2
DJ-0887,D'Ernest,Johnson,D'Ernest Johnson,RB,2019,CLE,70,204,2/27/96,0,0,0,0,0,0,0,0,0,South Florida,American Athletic,30,2
KJ-0587,Kerryon,Johnson,Kerryon Johnson,RB,2018,DET,71,213,6/30/97,4.52,11,40,126,4.29,7.07,32.5,9.75,43,Auburn,Southeastern (SEC),33,1
TJ-2275,Ty,Johnson,Ty Johnson,RB,2019,DET,70,213,9/17/97,4.4,13,34.5,123,0,0,30.125,9.125,186,Maryland,Big Ten,31,3
DJ-1850,Duke,Johnson,Duke Johnson,RB,2015,HOU,69,207,9/23/93,4.5,18,35,121,4.16,6.88,30.375,9.25,77,Miami (FL),Atlantic Coast (ACC),25,1
JJ-2518,Jakob,Johnson,Jakob Johnson,RB,2019,NE,75,253,12/15/94,0,0,0,0,0,0,0,0,0,Tennessee,Southeastern (SEC),47,5
AJ-1143,Aaron,Jones,Aaron Jones,RB,2017,GB,69,208,12/2/94,4.56,16,37.5,127,4.2,6.82,32.5,9.5,182,Texas-El Paso,Conference USA (C-USA),33,1
TJ-2400,Taiwan,Jones,Taiwan Jones,RB,2011,HOU,72,194,7/26/88,4.53,13,0,0,0,0,29.5,8.75,125,Eastern Washington,Big Sky,34,3
RJ-2250,Ronald,Jones,Ronald Jones,RB,2018,TB,71,205,8/3/97,4.39,0,36.5,0,0,0,31.125,8.75,38,USC,Pacific 12,27,1
KJ-1400,Kyle,Juszczyk,Kyle Juszczyk,RB,2013,SF,73,248,4/23/91,4.71,24,37,121,4.19,6.93,31.25,9.125,130,Harvard,Ivy League,44,1
AK-0050,Alvin,Kamara,Alvin Kamara,RB,2017,NO,70,214,7/25/95,4.56,15,39.5,131,4.35,7.1,32.75,9.25,67,Tennessee,Southeastern (SEC),41,1
JK-0775,John,Kelly,John Kelly,RB,2018,LA,70,216,10/4/96,4.64,15,35,120,4.22,7.13,31.375,9.375,176,Tennessee,Southeastern (SEC),42,3
PL-0012,Patrick,Laird,Patrick Laird,RB,2019,MIA,72,201,8/17/95,4.56,0,34,120,4.14,6.9,30,9.375,0,California,Pacific 12,42,1
DL-1700,Dion,Lewis,Dion Lewis,RB,2011,TEN,67,193,9/27/90,4.56,17,34.5,112,4.18,6.9,28.125,8.625,149,Pittsburgh,Big East,33,2
PL-0275,Phillip,Lindsay,Phillip Lindsay,RB,2018,DEN,67,185,7/24/94,4.43,14,35.5,124,4.31,7.12,0,0,0,Colorado,Pacific 12,30,1
ZL-0200,Zach,Line,Zach Line,RB,2013,NO,72,232,4/26/90,4.77,26,33,117,4.4,7.12,30.75,8.75,0,SMU,Conference USA (C-USA),42,1
TL-1037,T.J.,Logan,T.J. Logan,RB,2017,TB,69,196,9/3/94,4.37,17,33.5,121,4.27,6.61,32,9,179,North Carolina,Atlantic Coast (ACC),22,1
ML-2500,Marshawn,Lynch,Marshawn Lynch,RB,2007,SEA,71,215,4/22/86,4.46,20,35.5,125,4.58,7.09,32.5,9.625,12,California,Pacific 10,24,2
MM-0050,Marlon,Mack,Marlon Mack,RB,2017,IND,71,213,3/7/96,4.5,15,35.5,125,0,0,32,9,143,South Florida,American Athletic,25,1
AM-0825,Alexander,Mattison,Alexander Mattison,RB,2019,MIN,71,221,6/19/98,4.63,22,35,127,4.29,7.13,31.5,9.125,102,Boise State,Mountain West (MWC),25,2
CM-1225,Christian,McCaffrey,Christian McCaffrey,RB,2017,CAR,71,202,6/7/96,4.48,10,37.5,121,4.22,6.57,30,9,8,Stanford,Pacific 12,22,1
RM-2050,Ray-Ray,McCloud,Ray-Ray McCloud,RB,2018,BUF,69,190,10/15/96,4.53,13,34.5,113,4.32,6.89,30.25,9.25,187,Clemson,Atlantic Coast (ACC),14,5
LM-1000,LeSean,McCoy,LeSean McCoy,RB,2009,KC,70,198,7/12/88,0,0,0,0,0,0,31.75,8.875,53,Pittsburgh,Big East,25,2
SM-2625,Sony,Michel,Sony Michel,RB,2018,NE,71,214,2/17/95,4.54,22,0,0,4.21,0,31.25,9.125,31,Georgia,Southeastern (SEC),26,1
JM-5275,Joe,Mixon,Joe Mixon,RB,2017,CIN,73,226,7/24/96,4.45,21,35,118,4.27,7.1,0,0,48,Oklahoma,Big 12,28,1
DM-2787,David,Montgomery,David Montgomery,RB,2019,CHI,70,222,6/7/97,4.6,15,28.5,121,4.23,7.12,31,9.375,73,Iowa State,Big 12,32,2
TM-3150,Ty,Montgomery,Ty Montgomery,RB,2015,NYJ,72,221,1/22/93,4.5,16,40.5,121,4.21,6.97,31,10.125,94,Stanford,Pacific 12,88,2
AM-2850,Alfred,Morris,Alfred Morris,RB,2012,ARI,70,219,12/12/88,4.61,16,35.5,117,4.19,7.01,31.375,10.25,173,Florida Atlantic,Sun Belt,0,0
RM-5050,Raheem,Mostert,Raheem Mostert,RB,2015,SF,71,190,4/9/92,4.38,20,40,132,4.3,6.9,30.875,9.75,0,Purdue,Big Ten,31,1
LM-1850,Latavius,Murray,Latavius Murray,RB,2013,NO,74,223,1/18/90,4.38,22,36,124,4.36,6.81,33.25,9.125,181,Central Florida,Conference USA (C-USA),28,2
RN-0025,Ryan,Nall,Ryan Nall,RB,2018,CHI,74,232,12/27/95,4.58,15,34,122,4.16,6.95,0,0,0,Oregon State,Pacific 12,35,3
RN-1250,Roosevelt,Nix,Roosevelt Nix,RB,2014,PIT,71,265,3/30/92,4.79,22,28,110,4.39,6.97,0,0,0,Kent State,Mid-American (MAC),45,2
DO-0025,Dare,Ogunbowale,Dare Ogunbowale,RB,2017,TB,71,213,5/4/94,4.65,14,35,120,4.21,6.99,31.375,9.125,0,Wisconsin,Big Ten,44,3
JO-0550,Jamize,Olawale,Jamize Olawale,RB,2012,DAL,73,238,4/17/89,0,0,0,0,0,0,0,0,0,North Texas,Sun Belt,49,1
QO-0200,Qadree,Ollison,Qadree Ollison,RB,2019,ATL,73,228,9/8/96,4.58,19,29.5,114,4.31,7.53,31.5,9.625,152,Pittsburgh,Atlantic Coast (ACC),30,4
RO-0550,Ricky,Ortiz,Ricky Ortiz,RB,2017,NO,72,235,4/15/94,4.9,26,33.5,118,4.46,7.19,0,0,0,Oregon State,Pacific 12,30,4
DO-0600,Devine,Ozigbo,Devine Ozigbo,RB,2019,JAC,71,219,10/2/96,4.65,19,37,124,4.27,6.95,31,9.25,0,Nebraska,Big Ten,33,3
EP-0350,Elijhaa,Penny,Elijhaa Penny,RB,2016,NYG,73,233,8/17/93,4.81,21,28.5,108,4.55,7.2,0,0,0,Idaho,Sun Belt,39,2
RP-0550,Rashaad,Penny,Rashaad Penny,RB,2018,SEA,71,220,2/2/96,4.46,13,32.5,120,0,0,31.25,9.25,27,San Diego State,Mountain West (MWC),20,5
SP-0825,Samaje,Perine,Samaje Perine,RB,2017,MIA,71,233,9/16/95,4.65,30,33,116,4.37,7.26,30.375,10,114,Oklahoma,Big 12,29,3
PP-0350,Paul,Perkins,Paul Perkins,RB,2016,DET,70,208,11/16/94,4.43,19,32,124,0,0,31.625,9,149,UCLA,Pacific 12,0,0
SP-0850,Senorise,Perry,Senorise Perry,RB,2014,BUF,72,187,9/19/91,4.4,18,37,126,4.43,6.89,31.5,9.5,0,Louisville,American Athletic,32,4
AP-0700,Adrian,Peterson,Adrian Peterson,RB,2007,WAS,73,217,3/21/85,4.4,0,38.5,127,4.4,7.09,32.25,9.5,7,Oklahoma,Big 12,26,1
TP-1650,Tony,Pollard,Tony Pollard,RB,2019,DAL,72,210,4/30/97,4.52,13,35,121,4.37,7,30,9.5,128,Memphis,American Athletic,20,2
TP-1950,Troymaine,Pope,Troymaine Pope,RB,2016,LAC,67,205,11/26/93,4.55,25,35,120,4.21,6.87,0,0,0,Jacksonville State,Ohio Valley,35,4
BP-1200,Bilal,Powell,Bilal Powell,RB,2011,NYJ,70,204,10/27/88,4.54,18,0,0,0,0,30.75,8.625,126,Louisville,Big East,29,3
CP-2550,C.J.,Prosise,C.J. Prosise,RB,2016,SEA,72,220,5/20/94,4.33,0,35.5,121,4.42,7.19,32.125,8.5,90,Notre Dame,FBS Independents,22,2
PR-0125,Patrick,Ricard,Patrick Ricard,RB,2017,BAL,76,280,5/27/94,5.03,33,33.5,106,4.55,7.52,0,0,0,Maine,Colonial Athletic (CAA),42,1
JR-2075,Jalen,Richard,Jalen Richard,RB,2016,OAK,68,207,10/15/93,4.6,13,35.5,114,4.95,7.36,0,0,0,Southern Mississippi,Conference USA (C-USA),30,2
JS-0280,Jaylen,Samuels,Jaylen Samuels,RB,2018,PIT,71,225,7/20/96,4.54,18,34.5,121,4.28,6.93,31.375,9.25,165,North Carolina State,Atlantic Coast (ACC),38,2
MS-0125,Miles,Sanders,Miles Sanders,RB,2019,PHI,71,211,5/1/97,4.49,20,36,124,4.19,6.89,30.625,9.25,53,Penn State,Big Ten,26,2
BS-0825,Bo,Scarbrough,Bo Scarbrough,RB,2018,DET,73,228,9/29/96,4.52,14,40,129,4.34,0,33.5,10.5,236,Alabama,Southeastern (SEC),43,2
JS-0825,Jordan,Scarlett,Jordan Scarlett,RB,2019,CAR,71,208,2/9/96,4.47,21,30,116,4.63,7.37,30.375,9,154,Florida,Southeastern (SEC),20,3
BS-1450,Boston,Scott,Boston Scott,RB,2018,PHI,67,203,4/27/95,4.4,21,38.5,121,4.15,6.67,0,0,201,Louisiana Tech,Conference USA (C-USA),38,3
AS-0900,Anthony,Sherman,Anthony Sherman,RB,2011,KC,70,242,12/11/88,4.74,32,32.5,111,4.41,7.23,30,9.375,136,Connecticut,Big East,42,1
DS-2177,Devin,Singletary,Devin Singletary,RB,2019,BUF,67,203,9/3/97,4.66,15,35,117,4.4,7.32,28.875,8.5,74,Florida Atlantic,Conference USA (C-USA),26,2
WS-0650,Wendell,Smallwood,Wendell Smallwood,RB,2016,WAS,70,208,1/20/94,4.42,18,33.5,120,4.28,6.83,30.5,9.25,153,West Virginia,Big 12,34,2
IS-0250,Ito,Smith,Ito Smith,RB,2018,ATL,69,198,9/11/95,0,0,0,0,0,0,0,0,126,Southern Mississippi,Conference USA (C-USA),25,2
KS-1450,Keith,Smith,Keith Smith,RB,2014,ATL,73,230,4/8/92,5.01,26,31,113,4.53,6.87,0,0,0,San Jose State,Mountain West (MWC),40,1
BS-2950,Benny,Snell Jr.,Benny Snell Jr.,RB,2019,PIT,70,224,2/27/98,4.66,16,29.5,119,4.33,7.07,31,9.375,122,Kentucky,Southeastern (SEC),24,3
DS-3300,Darren,Sproles,Darren Sproles,RB,2005,PHI,66,185,6/20/83,4.47,23,33,105,3.96,6.96,28,8,130,Kansas State,Big 12,43,3
DT-1231,Darwin,Thompson,Darwin Thompson,RB,2019,KC,69,195,2/12/97,4.55,23,39,126,4.3,6.93,29.75,8.375,214,Utah State,Mountain West (MWC),34,3
CT-1220,Chris,Thompson,Chris Thompson,RB,2013,WAS,67,192,10/20/90,4.42,21,0,0,0,0,30.25,9.25,154,Florida State,Atlantic Coast (ACC),25,1
DT-1992,De'Lance,Turner,De'Lance Turner,RB,2018,MIA,73,214,8/23/95,4.55,24,37,120,4.45,7.48,0,0,0,Alcorn State,Southwestern Athletic (SWAC),34,2
DV-0550,Dan,Vitale,Dan Vitale,RB,2016,GB,73,239,10/26/93,4.52,30,38.5,123,4.12,7.12,31.75,9.75,197,Northwestern,Big Ten,45,1
MW-0650,Mark,Walton,Mark Walton,RB,2018,MIA,70,202,3/29/97,4.6,18,31.5,118,4.45,7,30,9.25,112,Miami (FL),Atlantic Coast (ACC),0,0
SW-0350,Spencer,Ware,Spencer Ware,RB,2013,KC,70,228,11/23/91,4.62,17,35.5,119,4.27,7.07,30.125,9.625,194,LSU,Southeastern (SEC),39,3
DW-1550,Dwayne,Washington,Dwayne Washington,RB,2016,NO,73,223,4/24/94,4.42,21,37.5,127,4.22,6.85,0,0,236,Washington,Pacific 12,27,3
DW-1350,DeAndre,Washington,DeAndre Washington,RB,2016,OAK,68,204,2/22/93,4.46,24,34.5,118,4.2,7.03,30,9,143,Texas Tech,Big 12,33,3
DW-1750,Derek,Watt,Derek Watt,RB,2016,LAC,74,235,11/7/92,4.75,19,33.5,116,4.29,0,0,0,198,Wisconsin,Big Ten,34,1
TW-1325,Trevon,Wesco,Trevon Wesco,RB,2019,NYJ,75,267,9/12/95,4.89,24,31,117,4.38,7.18,34.75,9.5,121,West Virginia,Big 12,85,2
JW-2550,James,White,James White,RB,2014,NE,69,204,2/3/92,4.57,23,32,114,4.2,7.05,29.25,8.25,130,Wisconsin,Big Ten,28,1
KW-0922,Kerrith,Whyte Jr.,Kerrith Whyte Jr.,RB,2019,PIT,70,200,10/31/96,4.37,21,42,132,4.37,7.2,29.875,9.5,222,Florida Atlantic,Conference USA (C-USA),40,4
JW-3325,Jordan,Wilkins,Jordan Wilkins,RB,2018,IND,73,216,7/18/94,4.71,16,37,123,4.22,0,30.125,9.375,169,Mississippi,Southeastern (SEC),20,3
DW-3906,Dexter,Williams,Dexter Williams,RB,2019,GB,71,212,1/6/97,4.57,17,36,130,4.16,7,32.25,9.625,194,Notre Dame,FBS Independents,22,3
JW-3650,Jamaal,Williams,Jamaal Williams,RB,2017,GB,72,212,4/3/95,4.59,18,33,123,4.26,7.12,31.25,10,134,Brigham Young,FBS Independents,30,2
JW-4625,Jonathan,Williams,Jonathan Williams,RB,2016,IND,71,220,2/2/94,4.63,16,0,0,4.29,6.97,31.625,10,156,Arkansas,Southeastern (SEC),33,4
DW-3125,Damien,Williams,Damien Williams,RB,2014,KC,71,222,4/3/92,4.45,16,35.5,121,4.25,7.37,30.625,9.125,0,Oklahoma,Big 12,26,3
DW-3243,Darrel,Williams,Darrel Williams,RB,2018,KC,72,225,4/15/95,4.72,22,32,109,4.21,7.2,0,0,0,LSU,Southeastern (SEC),31,3
JW-4975,Jeff,Wilson,Jeff Wilson,RB,2018,SF,71,210,11/16/95,4.6,15,35,110,4.29,7.2,0,0,0,North Texas,Conference USA (C-USA),30,4
TY-0150,T.J.,Yeldon,T.J. Yeldon,RB,2015,BUF,73,226,10/2/93,4.52,22,36,117,4.22,7.19,31.625,9,36,Alabama,Southeastern (SEC),22,3
ZZ-0100,Zach,Zenner,Zach Zenner,RB,2015,NO,71,223,9/13/91,4.5,25,41,121,4.14,7.08,32,9.625,0,South Dakota State,Missouri Valley,0,0
JA-0462,Jordan,Akins,Jordan Akins,TE,2018,HOU,75,249,4/19/92,4.93,24,35,122,4.38,7.29,33.5,9.25,98,Central Florida,American Athletic,88,2
MA-0487,Mo,Alie-Cox,Mo Alie-Cox,TE,2017,IND,78,260,9/19/93,0,0,0,0,0,0,0,0,0,Virginia Commonwealth,0,81,2
MA-1050,Mark,Andrews,Mark Andrews,TE,2018,BAL,77,256,9/6/95,4.58,17,31,113,4.38,7.34,32.5,9.5,86,Oklahoma,Big 12,89,2
DA-1650,Dan,Arnold,Dan Arnold,TE,2017,ARI,77,225,3/15/95,4.63,12,39.5,127,4.3,6.81,0,0,0,Wisconsin-Platteville,0,82,2
AA-0581,Antony,Auclair,Antony Auclair,TE,2017,TB,78,256,5/28/93,4.9,22,33.5,117,4.37,7.3,0,0,0,Laval,0,82,5
BB-1550,Blake,Bell,Blake Bell,TE,2015,KC,78,252,8/7/91,4.77,18,33,116,4.32,6.85,33.125,10,117,Oklahoma,Big 12,81,2
NB-0450,Nick,Boyle,Nick Boyle,TE,2015,BAL,76,268,2/17/93,5,20,30.5,112,4.23,7.13,33.375,10.375,171,Delaware,Colonial Athletic (CAA),86,1
CB-2775,Cameron,Brate,Cameron Brate,TE,2014,TB,76,245,7/3/91,4.79,24,33.5,117,4.48,7.16,31.75,9.875,0,Harvard,Ivy League,84,1
BB-2712,Ben,Braunecker,Ben Braunecker,TE,2016,CHI,75,250,2/7/94,4.68,20,37.5,121,4.2,6.9,0,0,0,Harvard,Ivy League,82,4
PB-0725,Pharaoh,Brown,Pharaoh Brown,TE,2017,CLE,77,246,5/4/94,4.83,24,34,103,4.46,7.24,0,0,0,Oregon,Pacific 12,86,2
DB-4387,Daniel,Brown,Daniel Brown,TE,2015,NYJ,77,225,5/26/92,4.6,11,31.5,116,4.18,6.86,0,0,0,James Madison,Colonial Athletic (CAA),87,1
TB-3950,Trey,Burton,Trey Burton,TE,2014,CHI,74,224,10/29/91,4.58,0,33,113,4.31,7.01,31,9.375,0,Florida,Southeastern (SEC),80,1
SC-0175,Stephen,Carlson,Stephen Carlson,TE,2019,CLE,76,230,12/12/96,4.77,18,32.5,123,4.19,6.97,32,9.75,0,Princeton,Ivy League,89,3
DC-0775,Derek,Carrier,Derek Carrier,TE,2012,OAK,76,238,7/25/90,4.51,15,38,122,4.08,6.65,32,0,0,Wisconsin-Beloit,0,85,2
CC-0775,Cethan,Carter,Cethan Carter,TE,2017,CIN,75,237,9/5/93,4.68,21,0,0,0,0,32.375,9,0,Nebraska,Big Ten,82,3
GC-0350,Garrett,Celek,Garrett Celek,TE,2012,SF,77,252,5/29/88,0,0,0,0,0,0,31.125,0,0,Michigan State,Big Ten,88,2
CC-2100,Charles,Clay,Charles Clay,TE,2011,ARI,75,250,2/13/89,4.69,18,33.5,118,4.15,7.07,33,9.5,174,Tulsa,Conference USA (C-USA),85,1
TC-2375,Tyler,Conklin,Tyler Conklin,TE,2018,MIN,75,254,7/30/95,4.8,18,38,120,4.23,7.13,33.25,9.5,157,Central Michigan,Mid-American (MAC),83,3
JC-4300,Jared,Cook,Jared Cook,TE,2009,NO,77,248,4/7/87,4.49,23,41,123,0,0,35.75,10.25,89,South Carolina,Southeastern (SEC),87,1
SC-1850,Sean,Culkin,Sean Culkin,TE,2017,LAC,77,250,6/11/93,4.71,21,35.5,120,4.46,7.2,0,0,0,Missouri,Southeastern (SEC),80,4
DD-0075,Darrell,Daniels,Darrell Daniels,TE,2017,ARI,75,235,11/22/94,4.55,17,32,115,4.47,7.09,34.5,10.25,0,Washington,Pacific 12,81,3
VD-0100,Vernon,Davis,Vernon Davis,TE,2006,WAS,75,250,1/31/84,4.38,33,42,128,4.17,7,0,0,6,Maryland,Atlantic Coast (ACC),85,1
SD-0534,Seth,DeValve,Seth DeValve,TE,2016,JAC,74,244,1/29/93,4.68,22,40,125,4.18,6.96,0,0,138,Princeton,Ivy League,88,1
WD-0550,Will,Dissly,Will Dissly,TE,2018,SEA,76,262,7/8/96,4.87,15,31,111,4.4,7.07,33.25,9.75,120,Washington,Pacific 12,88,3
JD-2550,Jack,Doyle,Jack Doyle,TE,2013,IND,75,254,5/5/90,4.86,0,0,0,0,0,0,0,0,Western Kentucky,Sun Belt,84,1
RD-2300,Ross,Dwelley,Ross Dwelley,TE,2018,SF,76,240,1/26/95,0,0,0,0,0,0,0,0,0,San Diego,0,82,2
EE-0050,Eric,Ebron,Eric Ebron,TE,2014,IND,76,250,4/10/93,4.56,24,32,120,4.45,7.49,33.25,10,10,North Carolina,Atlantic Coast (ACC),85,5
